Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,30.7,1595,145,758,816,42,10,1595,28,24,85.7,4,14.3,907,5429,3118,22,13,0,18,6,913,3
81,Amath,sn SEN,MF,Getafe,es La Liga,22,11.1,387,10,65,153,177,42,387,45,20,44.4,25,55.6,222,1738,801,30,24,12,36,26,231,72
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,24.2,1641,79,461,807,401,20,1641,43,23,53.5,20,46.5,806,4782,2657,74,66,5,37,25,817,98
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,32.0,1548,121,531,758,280,11,1548,39,24,61.5,15,38.5,655,3921,2519,46,48,4,31,20,721,59
84,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,8.4,469,7,64,257,155,18,469,27,20,74.1,7,25.9,271,1802,853,22,20,6,11,13,331,36
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,0.0,4,0,1,3,0,0,4,0,0,,0,,0,0,0,0,0,0,0,0,0,0
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,32.0,2328,277,1033,1260,52,17,2328,16,15,93.8,1,6.3,1363,8170,5150,25,12,1,10,6,1585,3
88,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,25,33.8,2319,29,269,1148,954,107,2319,156,76,48.7,80,51.3,1397,10958,6130,201,158,52,97,54,1622,253
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,9.8,345,15,50,143,161,46,345,37,9,24.3,28,75.7,210,1186,368,13,11,11,48,33,237,62
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,27.7,1884,61,342,1165,397,46,1884,32,21,65.6,11,34.4,946,4992,2430,52,33,3,55,39,1181,86
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1.2,84,12,42,41,1,1,84,0,0,,0,,33,125,79,0,0,0,0,0,60,0
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,7.2,314,43,183,128,5,2,314,0,0,,0,,146,530,273,1,1,0,1,1,182,0
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,0.0,4,1,2,1,1,0,4,0,0,,0,,2,8,0,0,0,0,0,2,1,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,33.6,2485,92,597,1189,734,12,2485,61,45,73.8,16,26.2,1137,6323,3094,78,81,7,22,19,1197,75
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,11.0,389,319,385,5,0,0,389,1,1,100.0,0,0.0,183,925,668,0,1,1,1,0,184,0
96,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,20.1,1159,37,233,474,479,36,1159,80,53,66.3,27,33.8,632,5111,2846,96,60,9,48,33,660,108
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,23.7,764,4,46,330,398,73,762,42,20,47.6,22,52.4,557,2886,996,41,26,14,77,45,611,172
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,34.0,2154,263,1062,1029,86,30,2154,26,17,65.4,9,34.6,1165,7513,4224,35,20,3,22,15,1227,17
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,8.4,490,37,142,240,110,18,490,7,5,71.4,2,28.6,259,1496,937,26,20,4,12,4,277,28
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,0.6,45,3,11,30,5,0,45,1,1,100.0,0,0.0,25,124,83,0,2,0,0,5,28,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
101,Michail Antonio,jm JAM,"MF,FW",West Ham,eng Premier League,28,23.4,1170,38,152,531,511,93,1170,104,58,55.8,46,44.2,683,4981,2349,87,54,29,83,68,823,204
102,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,20.7,1090,42,279,454,368,17,1090,40,22,55.0,18,45.0,580,3435,1937,56,49,5,29,18,649,136
103,Vitorino Antunes,pt POR,"DF,MF",Getafe,es La Liga,31,24.2,1457,74,400,642,431,20,1457,34,22,64.7,12,35.3,541,3181,1569,45,37,8,26,13,613,54
104,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,23,12.0,513,32,146,315,64,12,513,6,4,66.7,2,33.3,255,1813,915,15,10,3,12,11,281,15
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,11.4,654,20,135,411,112,8,654,6,5,83.3,1,16.7,303,1388,605,12,6,1,6,7,416,13
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,34.0,2457,35,306,1572,605,106,2457,97,58,59.8,39,40.2,1741,9785,4654,96,69,28,58,65,1956,163
107,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,es La Liga,21,0.2,6,0,0,3,3,1,6,0,0,,0,,7,18,0,0,1,0,0,3,8,3
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,29.7,1095,50,213,682,218,21,1095,50,34,68.0,16,32.0,465,2242,888,16,20,4,36,25,478,24
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,7.0,346,13,108,146,93,14,346,8,3,37.5,5,62.5,168,846,506,15,8,3,6,3,201,27
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,21.0,1888,44,302,1244,353,37,1888,16,9,56.3,7,43.8,865,3968,2115,27,27,1,28,27,1381,63
111,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,8.7,436,3,44,212,191,17,436,38,23,60.5,15,39.5,286,1956,967,30,25,8,21,15,317,45
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,29.8,1796,212,948,814,43,21,1796,2,2,100.0,0,0.0,913,3923,2076,4,3,0,6,2,1157,5
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,21.7,1380,92,458,833,100,18,1380,6,4,66.7,2,33.3,686,4776,2605,26,23,1,15,5,721,7
114,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,0.2,5,0,0,3,2,0,5,1,1,100.0,0,0.0,2,3,3,0,0,0,0,1,3,0
115,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,21.0,552,482,550,2,0,0,552,0,0,,0,,291,1571,1116,0,0,0,0,0,221,0
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,19.7,1205,48,289,508,412,18,1205,14,8,57.1,6,42.9,571,2793,1520,39,45,2,22,10,637,113
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,18.7,823,149,491,322,16,13,823,3,3,100.0,0,0.0,413,2524,1518,9,3,1,2,1,455,1
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,0.4,27,1,9,14,4,0,27,0,0,,0,,14,111,98,0,1,0,0,1,18,0
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,20.6,1107,47,349,540,230,7,1107,31,11,35.5,20,64.5,528,3164,1687,45,31,4,28,9,596,49
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,15.9,837,14,92,379,371,39,837,30,19,63.3,11,36.7,456,2678,1111,40,36,7,40,25,574,90
121,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,23,1.3,48,1,9,16,23,4,48,5,3,60.0,2,40.0,40,259,85,4,2,2,4,5,40,13
122,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,22.1,848,6,45,333,479,126,847,36,20,55.6,16,44.4,498,2611,926,38,25,24,47,32,681,195
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,31.9,1768,78,369,1000,427,24,1768,30,25,83.3,5,16.7,930,4937,2399,41,33,5,35,29,1061,83
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,36.0,1207,1059,1198,9,0,0,1207,1,1,100.0,0,0.0,662,3034,1787,0,0,0,1,1,622,0
125,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,22.2,886,33,165,500,231,15,886,7,3,42.9,4,57.1,294,1589,813,13,17,1,20,3,412,23
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,29.7,2475,77,588,1332,579,20,2475,65,40,61.5,25,38.5,1540,7411,4524,90,83,12,36,23,1761,153
127,Takuma Asano,jp JPN,"MF,FW",Hannover 96,de Bundesliga,23,7.8,253,5,35,105,119,18,253,18,7,38.9,11,61.1,170,1283,537,21,17,7,28,16,197,59
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,27.0,1402,59,342,862,212,22,1402,19,13,68.4,6,31.6,632,3176,1434,27,26,2,18,19,743,28
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,32.0,928,833,922,6,0,0,928,0,0,,0,,361,2745,1899,0,0,0,0,0,233,0
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,19.8,1214,6,86,501,647,86,1214,60,41,68.3,19,31.7,865,6386,3271,116,60,30,46,15,970,228
131,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,30,25.0,1129,7,86,511,540,114,1124,36,20,55.6,16,44.4,758,4366,1975,81,61,28,31,36,898,201
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,1.0,54,3,17,24,14,0,54,1,1,100.0,0,0.0,20,100,51,2,2,0,0,0,24,3
133,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,22,25.1,1772,61,364,790,657,87,1771,203,101,49.8,102,50.2,1013,7446,4352,137,96,53,82,33,1123,275
134,Christian Atsu,gh GHA,MF,Newcastle Utd,eng Premier League,26,16.6,636,16,100,277,276,37,636,52,25,48.1,27,51.9,380,2646,1355,48,40,14,48,30,426,72
135,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,30.3,1048,17,83,417,560,142,1043,55,29,52.7,26,47.3,609,3920,2078,82,45,30,61,33,816,228
136,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,36.0,1253,1153,1247,6,0,0,1253,0,0,,0,,621,2902,1941,0,0,0,2,0,480,0
137,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,5.1,166,0,4,67,98,33,166,21,9,42.9,12,57.1,123,824,334,18,16,9,20,16,134,50
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,33.6,2300,86,617,1003,702,64,2300,24,12,50.0,12,50.0,1052,5175,3079,83,57,8,38,15,1378,226
