Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,29.7,44,26,22,14,8,29,51,56.9,22,21,4,17,40,84,46,1
127,Takuma Asano,jp JPN,"MF,FW",Hannover 96,de Bundesliga,23,7.8,5,3,1,1,3,1,6,16.7,5,9,0,9,2,7,2,0
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,27.0,78,50,43,29,6,34,74,45.9,40,48,10,38,43,121,34,1
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,26,2
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,19.8,12,8,3,5,4,2,24,8.3,22,16,1,15,14,26,7,0
131,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,30,25.0,16,11,4,8,4,4,20,20.0,16,14,0,14,16,32,5,0
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,1.0,6,3,4,2,0,2,2,100.0,0,2,1,1,3,9,1,0
133,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,22,25.1,68,44,34,25,9,34,67,50.7,33,38,8,30,56,124,42,0
134,Christian Atsu,gh GHA,MF,Newcastle Utd,eng Premier League,26,16.6,24,15,9,11,4,5,16,31.3,11,13,3,10,7,31,16,0
135,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,30.3,21,17,6,9,6,8,28,28.6,20,26,0,26,8,29,22,0
136,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,36.0,4,3,4,0,0,3,3,100.0,0,0,0,0,1,5,21,4
137,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,5.1,2,0,0,0,2,0,1,0.0,1,6,0,6,3,5,0,0
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,33.6,53,31,25,22,6,23,39,59.0,16,37,11,26,38,91,86,1
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,6.3,20,12,12,4,4,8,15,53.3,7,8,2,6,7,27,20,0
140,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,29,10.9,13,7,3,6,4,6,11,54.5,5,12,2,10,2,15,13,0
141,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,es La Liga,24,22.2,18,10,7,7,4,4,26,15.4,22,21,2,19,13,31,22,0
142,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,13.1,38,23,12,19,7,6,20,30.0,14,16,0,16,7,45,6,0
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,27.2,53,29,38,15,0,23,47,48.9,24,34,16,18,59,112,118,3
144,Floyd Ayité,tg TOG,"FW,MF",Fulham,eng Premier League,29,5.3,4,4,2,1,1,2,6,33.3,4,8,1,7,7,11,5,0
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,37.8,105,60,52,40,13,38,67,56.7,29,63,16,47,43,148,91,3
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,23.4,46,33,37,8,1,29,39,74.4,10,32,18,14,29,75,165,4
147,Florian Baak,de GER,MF,Hertha BSC,de Bundesliga,19,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1.4,4,3,3,1,0,0,0,,0,1,0,1,2,6,1,0
149,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,25,16.5,7,3,2,5,0,2,10,20.0,8,8,2,6,3,10,25,1
150,Ryan Babel,nl NED,"FW,MF",Fulham,eng Premier League,31,13.9,8,4,1,5,2,3,9,33.3,6,12,0,12,6,14,13,1
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
151,Carlos Bacca,co COL,FW,Villarreal,es La Liga,31,14.1,4,2,1,2,1,0,5,0.0,5,4,0,4,8,12,5,0
152,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,eng Premier League,20,15.7,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1
153,Leandro Bacuna,cw CUW,MF,Cardiff City,eng Premier League,26,6.2,15,10,5,7,3,8,22,36.4,14,5,2,3,15,30,9,0
154,Milan Badelj,hr CRO,MF,Lazio,it Serie A,29,12.7,33,20,10,19,4,16,37,43.2,21,27,9,18,33,66,20,1
155,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,19.6,25,18,18,7,0,17,25,68.0,8,12,5,7,21,46,79,2
156,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,5.8,12,4,8,4,0,7,8,87.5,1,6,2,4,9,21,21,1
157,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,27.4,15,7,0,10,5,3,21,14.3,18,35,3,32,8,23,5,0
158,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,31.3,62,39,21,37,4,24,66,36.4,42,27,8,19,60,122,48,2
159,Leon Bailey,jm JAM,FW,Leverkusen,de Bundesliga,20,21.3,15,11,9,2,4,6,20,30.0,14,20,0,20,14,29,11,0
160,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,7.1,15,9,14,1,0,8,10,80.0,2,9,4,5,13,28,39,1
161,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,4.2,8,6,4,3,1,4,6,66.7,2,2,0,2,2,10,8,0
162,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,16.3,18,11,7,9,2,6,36,16.7,30,29,4,25,28,46,47,0
163,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,25.6,69,43,22,40,7,26,62,41.9,36,34,5,29,50,119,42,2
164,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,10.4,18,9,6,9,3,2,7,28.6,5,13,1,12,8,26,9,0
165,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,22.4,40,20,34,6,0,16,42,38.1,26,23,15,8,53,93,175,0
166,Keita Baldé,sn SEN,FW,Inter,it Serie A,23,9.9,10,6,4,2,4,2,9,22.2,7,8,0,8,3,13,1,0
167,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,29,19.8,16,8,5,7,4,6,20,30.0,14,19,3,16,11,27,13,0
168,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,5.8,10,6,7,1,2,5,8,62.5,3,6,2,4,2,12,21,0
169,Andrija Balić,hr CRO,"FW,MF",Udinese,it Serie A,20,0.3,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0
170,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,21,17.7,47,35,26,19,2,21,32,65.6,11,25,7,18,27,74,42,2
171,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,21,17.7,46,31,26,16,4,20,40,50.0,20,20,2,18,28,74,38,2
172,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,12.0,29,16,16,10,3,9,36,25.0,27,13,2,11,6,35,8,0
